2026-07-10 12:42:37,716 | INFO | MamaAI | Home endpoint accessed
2026-07-10 12:42:37,719 | INFO | MamaAI | [34ecdfe9] 200 (9.08 ms)
2026-07-10 12:42:41,000 | INFO | MamaAI | [b041164d] GET /docs
2026-07-10 12:42:41,003 | INFO | MamaAI | [b041164d] 200 (3.14 ms)
2026-07-10 12:42:41,260 | INFO | MamaAI | [d39f0e65] GET /openapi.json
2026-07-10 12:42:41,282 | INFO | MamaAI | [d39f0e65] 200 (22.13 ms)
2026-07-10 12:43:00,128 | INFO | MamaAI | [a1d3fcf1] POST /chat
2026-07-10 12:43:00,218 | INFO | MamaAI | [a1d3fcf1] 200 (90.7 ms)
2026-07-10 12:43:17,596 | INFO | MamaAI | [370de057] POST /chat
2026-07-10 12:43:20,014 | INFO | MamaAI | [370de057] 200 (2418.08 ms)
2026-07-10 12:44:05,300 | INFO | MamaAI | [0178b508] POST /chat
2026-07-10 12:44:05,717 | INFO | MamaAI | [0178b508] 200 (416.36 ms)
2026-07-10 12:44:28,855 | INFO | MamaAI | [ed8dcca8] POST /chat
2026-07-10 12:44:30,766 | INFO | MamaAI | [ed8dcca8] 200 (1910.84 ms)
2026-07-12 01:09:02,364 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:10:15,346 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:10:18,446 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:10:34,058 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:10:36,827 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:10:57,026 | INFO | MamaAI | ========== Mama AI Backend Stopped ==========
2026-07-12 01:10:59,769 | INFO | MamaAI | ========== Mama AI Backend Started ==========
2026-07-12 01:11:18,737 | INFO | MamaAI | [aa303bc6] GET /
2026-07-12 01:11:18,758 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:11:18,760 | INFO | MamaAI | [aa303bc6] 200 (22.81 ms)
2026-07-12 01:11:19,797 | INFO | MamaAI | [cdae8bdf] GET /favicon.ico
2026-07-12 01:11:19,798 | INFO | MamaAI | [cdae8bdf] 404 (2.0 ms)
2026-07-12 01:12:00,972 | INFO | MamaAI | [330453fc] GET /
2026-07-12 01:12:00,974 | INFO | MamaAI | Home endpoint accessed
2026-07-12 01:12:00,976 | INFO | MamaAI | [330453fc] 200 (4.07 ms)
2026-07-12 01:12:34,397 | INFO | MamaAI | [20d30b4a] GET /docs
2026-07-12 01:12:34,398 | INFO | MamaAI | [20d30b4a] 200 (1.0 ms)
